Sample,d13C,d18O_carb,thickness,age,,Sample_p,d18O_p,thickness_p,age_p
MLB-a116,2.1,-6.1,125.6,351.8,,,,,
MLB-a117,1.9,-6.7,126.7,351.8,,,,,
MLB-a118,1.6,-6.7,130.3,351.7,,,,,
MLB-a119,2.1,-6.4,130.9,351.7,,,,,
MLB-a120,1.8,-7.1,132.9,351.6,,,,,
MLB-a121,0.3,-6.8,134.7,351.6,,,,,
MLB-a122,0.8,-6.3,135.5,351.6,,,,,
MLB-a123,2,-5.5,136.8,351.5,,,,,
MLB-a124,1.5,-6.7,137.5,351.5,,,,,
MLB-a125,1.5,-6.2,139.2,351.5,,,,,
MLB-a126,1.7,-6.2,140.4,351.5,,,,,
MLB-a127,1.8,-6.2,142.2,351.4,,,,,
MLB-a128,2.2,-5.7,143.9,351.4,,,,,
MLB-a129,1.4,-6,146,351.3,,,,,
MLB-a131,1.5,-6.2,149.5,351.3,,,,,
MLB-a132,1.5,-6.1,149.9,351.2,,,,,
MLB-a133,1.4,-5.9,151,351.2,,,,,
MLB-a134,1.4,-5.8,152.3,351.2,,,,,
MLB-a135,2.9,-2.5,153,351.2,,,,,
MLB-a136,0.7,-5.5,154.8,351.1,,,,,
MLB-a137,1,-5.7,158,351.1,,,,,
MLB-a138,1.3,-6.1,159.4,351,,,,,
MLB-a139,1.5,-5.9,160.4,351,,,,,
MLB-a140,1.8,-5.6,161,351,,,,,
MLB-a141,1.3,-5.6,162.5,351,,,,,
MLB-a142,1.3,-5.8,164,350.9,,,,,
MLB-a143,1.3,-5.9,168,350.8,,,,,
MLB-a144,1.2,-5.9,170,350.8,,,,,
MLB-a145,0.4,-6,171.3,350.8,,,,,
MLB-a146,1.3,-5.7,172.2,350.7,,,,,
MLB-a147,1.8,-5.4,173,350.7,,,,,
MLB-a148,1.5,-6,175,350.7,,,,,
MLB-a149,1.5,-5.3,177.2,350.6,,,,,
MLB-a150,0.9,-5.4,178.3,350.6,,,,,
MLB-a151,0.3,-5.7,179.4,350.6,,,,,
MLB-a152,2,-6.7,180.8,350.5,,,,,
MLB-a153,-1.1,-5.7,182.3,350.5,,,,,
MLB-a154,0.6,-5.7,183.8,350.5,,,,,
MLB-a155,1.7,-6.1,186.4,350.4,,,,,
MLB-a156,0.7,-5.9,187.9,350.4,,,,,
MLB-a157,-0.3,-5.8,189,350.4,,,,,
MLB-a159,2.7,-2.7,192.8,350.3,,,,,
MLB-a160,1.7,-6.2,194.8,350.2,,,,,
MLB-a161,1.5,-6.1,195.6,350.2,,,,,
MLB-a162,1.2,-8.6,196.9,350.2,,,,,
WY0.1,1.8,-0.4,0.1,359.8,,,,,
WY0.2,1.3,-0.8,0.2,359.8,,,,,
WY0.55,0.5,-0.4,0.55,359.7,,,,,
WY0.8,1.6,-0.3,0.8,359.7,,,,,
WY1,0.8,-3.5,1,359.6,,,,,
WY1B,0.8,-3,1,359.6,,,,,
WY1.1,1.8,-0.3,1.1,359.6,,,,,
WY1.4,-0.6,-0.8,1.4,359.6,,,,,
WY2.1,-1.2,-1.6,2.1,359.4,,,,,
WY2.7,-0.6,-2.1,2.7,359.2,,,,,
WY3.3,-0.2,-4.4,3.3,359,,,,,
WY3.9,0.1,-5,3.9,358.7,,,,,
WY5.5,0.3,-14.5,5.5,358,,,,,
WY5.8,2.3,-13.8,5.8,357.8,,,,,
